,GU,XCODE,YCODE,stationName
8719,관악구,126.9528608066,37.4904101652,관악드림타운115동
8720,관악구,126.95281914579999,37.4901217953,관악드림타운115동
8721,관악구,126.951276815,37.491600782,관악드림타운북문
8722,관악구,126.9507566291,37.4915663244,관악드림타운북문
8723,관악구,126.94853387799999,37.4923781727,구암중학교
8724,관악구,126.9484390838,37.4920852727,구암중학교
8725,관악구,126.946532,37.492953,벽산아파트.선의사회복지관
8726,관악구,126.94611562600001,37.4929186579,벽산아파트.선의사회복지관
8727,관악구,126.94472650959999,37.491874538000005,벽산블루밍벽산아파트303동앞
8728,관악구,126.9027978872,37.4837645777,구로디지털단지역
8729,관악구,126.947836543,37.4868811315,현대시장
8730,관악구,126.95267855860001,37.4799356496,서울대입구역
8731,관악구,126.9467765186,37.4843260268,신봉초등학교입구
8732,관악구,126.9461216984,37.4891880904,구암초등학교
8733,관악구,126.9458637343,37.4893681933,은천동벽산블루밍아파트105동
8734,관악구,126.94666673260001,37.4844674508,은천동두산아파트3단지
8735,관악구,126.93724343219999,37.4850728694,봉일시장
8736,관악구,126.9420825336,37.4830217223,봉천역
8737,관악구,126.94659094549999,37.4876789537,현대시장
8738,관악구,126.94661611549999,37.4872689625,현대시장
8739,관악구,126.933156959,37.4848480554,관악우체국(양지병원)
8740,관악구,126.9331482652,37.4844524654,관악우체국.양지병원
8741,관악구,126.9273975559,37.4945144044,보라매삼성아파트.모자원고개
8742,관악구,126.905895,37.483513,조원동기점
8743,관악구,126.9193412008,37.4604762125,난향동주민센터
8744,관악구,126.92196330370001,37.4609276261,관악산휴먼시아아파트1단지입구
8745,관악구,126.921921,37.461102000000004,관악산휴먼시아아파트1단지입구
8746,관악구,126.91916699999999,37.461001,난향동주민센터
8747,관악구,126.94824018450001,37.4656566538,서울대정문
8748,관악구,126.94883656479999,37.4631049757,법대.사회대입구
8749,관악구,126.94883284129999,37.4602745925,자연대.행정관입구
8750,관악구,126.9490159586,37.4569594921,농생대
8751,관악구,126.9497000515,37.4549413004,공대입구
8752,관악구,126.9500671909,37.453571769499995,신소재
8753,관악구,126.9520946033,37.4488399789,제2공학관
8754,관악구,126.952595,37.451283000000004,제1공학관
8755,관악구,126.95390208129999,37.4540103657,유전공학연구소.반도체공동연구소
8756,관악구,126.9553487986,37.4560708573,교수회관입구
8757,관악구,126.9564570475,37.4610516998,관악사삼거리
8758,관악구,126.9553134553,37.4641772176,국제대학원
8759,관악구,126.954601225,37.4660981082,수의대입구.보건대학원앞
8760,관악구,126.952053,37.466134999999994,경영대
8761,관악구,126.9509137906,37.4656866301,경영대
8762,관악구,126.95464547200001,37.4658377051,수의대입구.보건대학원앞
8763,관악구,126.95482767540001,37.4636381703,국제대학원
8764,관악구,126.95666000000001,37.460528000000004,관악사삼거리
8765,관악구,126.9544665701,37.4551189492,공동기기원
8766,관악구,126.95343092549999,37.453706507,유전공학연구소.반도체공동연구소
8767,관악구,126.9522069384,37.4534762355,에너지자원연구소
8768,관악구,126.94989644799999,37.4553640041,공대입구
8769,관악구,126.9493877458,37.4571128404,농생대
8770,관악구,126.9490319064,37.460109775700005,자연대.행정관입구
8771,관악구,126.9504521932,37.461084478000004,서울대본부앞
8772,관악구,126.94945036290001,37.4614868493,문화관입구
8773,관악구,126.9491541718,37.4631817069,법대.사회대입구
8774,관악구,126.9487039701,37.4652441487,서울대정문
8775,관악구,126.919247,37.489233,우방아파트
8776,관악구,126.92207473879999,37.4875220522,세진마트
8777,관악구,126.92287440700001,37.4862529208,신사동주민센터
8778,관악구,126.92451669340001,37.4847770708,신관카센타
8779,관악구,126.9246318378,37.4849717829,신관카센타
8780,관악구,126.92232579510001,37.4864174635,남부초교앞
8781,관악구,126.9408120032,37.4709922281,청담고시원
8782,관악구,126.93941132110001,37.4722647822,우리슈퍼
8783,관악구,126.9388598502,37.473333210700005,명호고시원
8784,관악구,126.9384475883,37.4742097733,동작마트
8785,관악구,126.94043925620001,37.4748334585,제일성도교회
8786,관악구,126.9420977509,37.4750244163,삼양슈퍼
8787,관악구,126.942807788,37.4750292676,금성마트용천사
8788,관악구,126.9421136493,37.4749343135,삼양슈퍼
8789,관악구,126.9404789678,37.4746577628,제일성도교회
8790,관악구,126.9381157325,37.474916067399995,동작마트
8791,관악구,126.9376252893,37.4705301233,고시촌입구
8792,관악구,126.9376975668,37.4692632048,대학동치안센터
8793,관악구,126.93757,37.46735,대학동노인정
8794,관악구,126.9374889346,37.4659235904,금호타운아파트
8795,관악구,126.9377037327,37.4659200994,금호타운아파트
8796,관악구,126.9376868773,37.467159113499996,대학동노인정
8797,관악구,126.9377735833,37.4689379452,대학동치안센터
8798,관악구,126.9524440164,37.4807005941,서울대입구역
8799,관악구,126.95756100000001,37.491334,청림동현대아파트
8800,관악구,126.95938400000001,37.491948,청림동현대아파트
8801,관악구,126.9189608386,37.4641200337,보성운수기종점
8802,관악구,126.91896299999999,37.463938,난곡공영차고지
8803,관악구,126.9398175867,37.4703789731,한남운수대학동차고지
8804,관악구,126.93970466530001,37.4702104085,한남운수대학동차고지
8805,관악구,126.95214255459999,37.4480848677,제2공학관
8806,관악구,126.9498432127,37.4470638572,건설환경종합연구소앞
8807,관악구,126.9375179258,37.4854190392,봉일시장
8808,관악구,126.9342323482,37.4887044852,보라매공영주차장
8809,관악구,126.9340425015,37.4911229426,당곡중고교
8810,관악구,126.93382645530001,37.4924591587,연희빌라
8811,관악구,126.93530432290001,37.4927140884,재넘이고개
8812,관악구,126.9337212672,37.4924753196,연희빌라
8813,관악구,126.9338830387,37.4911327656,당곡중고교
8814,관악구,126.9341339458,37.4887260569,보라매공영주차장
8815,관악구,126.92827597549999,37.4841991011,신림사거리.신림역
8816,관악구,126.9178057215,37.4855925982,신사동주민센터.신사시장
8817,관악구,126.9149940281,37.4850634625,건영유치원
8818,관악구,126.91368411149999,37.4864484117,신대방역
8819,관악구,126.91436441370001,37.4828760264,난곡사거리
8820,관악구,126.91416985059999,37.4829398637,난곡사거리
8821,관악구,126.91348405379999,37.486365363699996,신대방역
8822,관악구,126.9138969179,37.4842913224,신사시장.평화교회
8823,관악구,126.9140379945,37.4845275146,신사시장.선한이웃교회
8824,관악구,126.91496676850001,37.4801812557,신림체육센터
